I,S,a0,a1
30,6,100,15
30,7,100,15
30,8,100,15
30,9,100,10
30,10,100,10
31,1,100,15
31,2,100,10
31,3,100,15
31,4,100,15
31,5,100,15
31,6,100,10
31,7,100,15
31,8,100,10
31,9,100,15
31,10,100,10
32,1,100,15
32,2,100,10
32,3,100,10
32,4,100,10
32,5,100,15
32,6,100,10
32,7,100,15
32,8,100,15
32,9,100,10
32,10,100,15
33,1,100,15
33,2,100,15
33,3,100,10
33,4,100,10
33,5,100,15
33,6,100,15
33,7,100,15
33,8,100,15
33,9,100,10
33,10,100,15
34,1,100,10
34,2,100,15
34,3,100,10
34,4,100,10
34,5,100,15
34,6,100,15
34,7,100,15
34,8,100,15
34,9,100,15
34,10,100,15
35,1,100,10
35,2,100,15
35,3,100,10
35,4,100,10
35,5,100,15
35,6,100,10
35,7,100,10
35,8,100,10
35,9,100,10
35,10,100,10
36,1,100,10
36,2,100,15
36,3,100,10
36,4,100,15
36,5,100,10
36,6,100,15
36,7,100,15
36,8,100,10
36,9,100,10
36,10,100,15
37,1,100,15
37,2,100,15
37,3,100,15
37,4,100,10
37,5,100,15
37,6,100,15
37,7,100,10
37,8,100,10
37,9,100,15
37,10,100,10
38,1,100,15
38,2,100,10
38,3,100,15
38,4,100,10
38,5,100,10
38,6,100,10
38,7,100,15
38,8,100,15
38,9,100,10
38,10,100,15
39,1,100,15
39,2,100,10
39,3,100,15
39,4,100,15
39,5,100,15
39,6,100,10
39,7,100,15
39,8,100,10
39,9,100,15
39,10,100,15
40,1,100,10
40,2,100,10
40,3,100,15
40,4,100,10
40,5,100,15
40,6,100,10
40,7,100,15
40,8,100,10
40,9,100,15
40,10,100,15
41,1,100,5
41,2,100,5
41,3,100,5
41,4,100,15
41,5,100,15
41,6,100,15
41,7,100,20
41,8,100,20
41,9,100,5
41,10,100,30
42,1,100,15
42,2,100,15
42,3,100,15
42,4,100,15
42,5,100,20
42,6,100,25
42,7,100,20
42,8,100,25
42,9,100,35
42,10,100,5
43,1,100,20
43,2,100,30
43,3,100,35
43,4,100,20
43,5,100,30
43,6,100,20
43,7,100,30
43,8,100,35
43,9,100,10
43,10,100,20
44,1,100,30
44,2,100,15
44,3,100,15
44,4,100,20
44,5,100,5
44,6,100,10
44,7,100,10
44,8,100,10
44,9,100,20
44,10,100,20
45,1,100,10
45,2,100,25
45,3,100,15
45,4,100,25
45,5,100,20
45,6,100,15
45,7,100,20
45,8,100,15
45,9,100,25
45,10,100,25
46,1,100,25
46,2,100,15
46,3,100,30
46,4,100,30
46,5,100,25
46,6,100,10
46,7,100,30
46,8,100,15
46,9,100,25
46,10,100,5
47,1,100,20
47,2,100,25
47,3,100,30
47,4,100,15
47,5,100,10
47,6,100,30
47,7,100,15
47,8,100,35
47,9,100,10
47,10,100,10
48,1,100,25
48,2,100,30
48,3,100,30
48,4,100,30
48,5,100,35
48,6,100,30
48,7,100,30
48,8,100,25
48,9,100,10
48,10,100,35
49,1,100,10
49,2,100,10
49,3,100,30
49,4,100,5
49,5,100,20
49,6,100,15
49,7,100,25
49,8,100,10
49,9,100,5
49,10,100,35
50,1,100,5
50,2,100,20
50,3,100,20
50,4,100,20
50,5,100,10
50,6,100,5
50,7,100,30
50,8,100,15
50,9,100,30
50,10,100,20
51,1,100,35
51,2,100,35
51,3,100,30
51,4,100,25
51,5,100,10
51,6,100,30
51,7,100,30
51,8,100,30
51,9,100,20
51,10,100,20
52,1,100,30
52,2,100,5
52,3,100,30
52,4,100,10
52,5,100,20
52,6,100,10
52,7,100,20
52,8,100,5
52,9,100,5
52,10,100,25
53,1,100,30
53,2,100,15
53,3,100,30
53,4,100,20
53,5,100,35
53,6,100,25
53,7,100,35
53,8,100,25
53,9,100,20
53,10,100,30
54,1,100,10
54,2,100,5
54,3,100,30
54,4,100,30
54,5,100,30
54,6,100,30
54,7,100,10
54,8,100,10
54,9,100,10
54,10,100,35
55,1,100,20
55,2,100,30
55,3,100,10
55,4,100,25
55,5,100,10
55,6,100,15
55,7,100,20
55,8,100,25
55,9,100,15
55,10,100,25
56,1,100,30
56,2,100,15
56,3,100,25
56,4,100,20
56,5,100,5
56,6,100,30
56,7,100,15
56,8,100,15
56,9,100,15
56,10,100,20
57,1,100,20
57,2,100,20
57,3,100,5
57,4,100,25
57,5,100,25
57,6,100,5
57,7,100,10
57,8,100,20
57,9,100,20
57,10,100,25
58,1,100,20
58,2,100,20
58,3,100,25
58,4,100,15
58,5,100,35
58,6,100,25
58,7,100,10
58,8,100,15
58,9,100,25
58,10,100,15
59,1,100,20
59,2,100,30
59,3,100,5
59,4,100,25
59,5,100,15
59,6,100,25
59,7,100,30
59,8,100,30
59,9,100,5
59,10,100,10
60,1,100,10
60,2,100,15
60,3,100,5
60,4,100,10
60,5,100,30
60,6,100,15
60,7,100,25
60,8,100,30
60,9,100,20
60,10,100,30
