I,S,a0,a1
30,6,100,15
30,7,100,15
30,8,100,15
30,9,100,10
30,10,100,10
31,1,100,15
31,2,100,10
31,3,100,15
31,4,100,15
31,5,100,15
31,6,100,10
31,7,100,15
31,8,100,10
31,9,100,15
31,10,100,10
32,1,100,15
32,2,100,10
32,3,100,10
32,4,100,10
32,5,100,15
32,6,100,10
32,7,100,15
32,8,100,15
32,9,100,10
32,10,100,15
33,1,100,15
33,2,100,15
33,3,100,10
33,4,100,10
33,5,100,15
33,6,100,15
33,7,100,15
33,8,100,15
33,9,100,10
33,10,100,15
34,1,100,10
34,2,100,15
34,3,100,10
34,4,100,10
34,5,100,15
34,6,100,15
34,7,100,15
34,8,100,15
34,9,100,15
34,10,100,15
35,1,100,10
35,2,100,15
35,3,100,10
35,4,100,10
35,5,100,15
35,6,100,10
35,7,100,10
35,8,100,10
35,9,100,10
35,10,100,10
36,1,100,10
36,2,100,15
36,3,100,10
36,4,100,15
36,5,100,10
36,6,100,15
36,7,100,15
36,8,100,10
36,9,100,10
36,10,100,15
37,1,100,15
37,2,100,15
37,3,100,15
37,4,100,10
37,5,100,15
37,6,100,15
37,7,100,10
37,8,100,10
37,9,100,15
37,10,100,10
38,1,100,15
38,2,100,10
38,3,100,15
38,4,100,10
38,5,100,10
38,6,100,10
38,7,100,15
38,8,100,15
38,9,100,10
38,10,100,15
39,1,100,15
39,2,100,10
39,3,100,15
39,4,100,15
39,5,100,15
39,6,100,10
39,7,100,15
39,8,100,10
39,9,100,15
39,10,100,15
40,1,100,10
40,2,100,10
40,3,100,15
40,4,100,10
40,5,100,15
40,6,100,10
40,7,100,15
40,8,100,10
40,9,100,15
40,10,100,15
41,1,100,20
41,2,100,10
41,3,100,20
41,4,100,20
41,5,100,10
41,6,100,20
41,7,100,20
41,8,100,10
41,9,100,10
41,10,100,20
42,1,100,20
42,2,100,20
42,3,100,20
42,4,100,10
42,5,100,20
42,6,100,20
42,7,100,20
42,8,100,20
42,9,100,20
42,10,100,10
43,1,100,20
43,2,100,10
43,3,100,10
43,4,100,20
43,5,100,20
43,6,100,10
43,7,100,10
43,8,100,20
43,9,100,20
43,10,100,10
44,1,100,20
44,2,100,10
44,3,100,20
44,4,100,10
44,5,100,10
44,6,100,20
44,7,100,10
44,8,100,10
44,9,100,20
44,10,100,10
45,1,100,20
45,2,100,10
45,3,100,20
45,4,100,10
45,5,100,20
45,6,100,20
45,7,100,10
45,8,100,10
45,9,100,10
45,10,100,20
46,1,100,20
46,2,100,20
46,3,100,10
46,4,100,10
46,5,100,10
46,6,100,10
46,7,100,20
46,8,100,20
46,9,100,10
46,10,100,10
47,1,100,10
47,2,100,20
47,3,100,20
47,4,100,10
47,5,100,20
47,6,100,10
47,7,100,10
47,8,100,20
47,9,100,10
47,10,100,10
48,1,100,20
48,2,100,20
48,3,100,10
48,4,100,20
48,5,100,10
48,6,100,10
48,7,100,20
48,8,100,20
48,9,100,20
48,10,100,20
49,1,100,10
49,2,100,10
49,3,100,10
49,4,100,10
49,5,100,20
49,6,100,20
49,7,100,20
49,8,100,10
49,9,100,20
49,10,100,20
50,1,100,20
50,2,100,10
50,3,100,10
50,4,100,10
50,5,100,20
50,6,100,10
50,7,100,10
50,8,100,20
50,9,100,20
50,10,100,20
51,1,100,20
51,2,100,10
51,3,100,10
51,4,100,20
51,5,100,20
51,6,100,20
51,7,100,10
51,8,100,20
51,9,100,20
51,10,100,20
52,1,100,20
52,2,100,20
52,3,100,10
52,4,100,20
52,5,100,20
52,6,100,20
52,7,100,10
52,8,100,20
52,9,100,20
52,10,100,10
53,1,100,10
53,2,100,10
53,3,100,10
53,4,100,20
53,5,100,10
53,6,100,10
53,7,100,10
53,8,100,20
53,9,100,10
53,10,100,20
54,1,100,20
54,2,100,10
54,3,100,10
54,4,100,20
54,5,100,10
54,6,100,20
54,7,100,10
54,8,100,10
54,9,100,10
54,10,100,10
55,1,100,20
55,2,100,20
55,3,100,10
55,4,100,20
55,5,100,20
55,6,100,10
55,7,100,20
55,8,100,20
55,9,100,20
55,10,100,20
56,1,100,10
56,2,100,10
56,3,100,10
56,4,100,20
56,5,100,20
56,6,100,10
56,7,100,20
56,8,100,10
56,9,100,20
56,10,100,20
57,1,100,20
57,2,100,10
57,3,100,10
57,4,100,20
57,5,100,20
57,6,100,20
57,7,100,10
57,8,100,10
57,9,100,10
57,10,100,10
58,1,100,20
58,2,100,10
58,3,100,20
58,4,100,20
58,5,100,20
58,6,100,20
58,7,100,20
58,8,100,20
58,9,100,10
58,10,100,10
59,1,100,10
59,2,100,10
59,3,100,20
59,4,100,20
59,5,100,20
59,6,100,10
59,7,100,20
59,8,100,20
59,9,100,20
59,10,100,20
60,1,100,20
60,2,100,20
60,3,100,20
60,4,100,10
60,5,100,20
60,6,100,10
60,7,100,20
60,8,100,20
60,9,100,10
60,10,100,10
61,1,100,5
61,2,100,5
61,3,100,5
61,4,100,15
61,5,100,15
61,6,100,15
61,7,100,20
61,8,100,20
61,9,100,5
61,10,100,30
62,1,100,15
62,2,100,15
62,3,100,15
62,4,100,15
62,5,100,20
62,6,100,25
62,7,100,20
62,8,100,25
62,9,100,35
62,10,100,5
63,1,100,20
63,2,100,30
63,3,100,35
63,4,100,20
63,5,100,30
63,6,100,20
63,7,100,30
63,8,100,35
63,9,100,10
63,10,100,20
64,1,100,30
64,2,100,15
64,3,100,15
64,4,100,20
64,5,100,5
64,6,100,10
64,7,100,10
64,8,100,10
64,9,100,20
64,10,100,20
65,1,100,10
65,2,100,25
65,3,100,15
65,4,100,25
65,5,100,20
65,6,100,15
65,7,100,20
65,8,100,15
65,9,100,25
65,10,100,25
66,1,100,25
66,2,100,15
66,3,100,30
66,4,100,30
66,5,100,25
66,6,100,10
66,7,100,30
66,8,100,15
66,9,100,25
66,10,100,5
67,1,100,20
67,2,100,25
67,3,100,30
67,4,100,15
67,5,100,10
67,6,100,30
67,7,100,15
67,8,100,35
67,9,100,10
67,10,100,10
68,1,100,25
68,2,100,30
68,3,100,30
68,4,100,30
68,5,100,35
68,6,100,30
68,7,100,30
68,8,100,25
68,9,100,10
68,10,100,35
69,1,100,10
69,2,100,10
69,3,100,30
69,4,100,5
69,5,100,20
69,6,100,15
69,7,100,25
69,8,100,10
69,9,100,5
69,10,100,35
70,1,100,5
70,2,100,20
70,3,100,20
70,4,100,20
70,5,100,10
70,6,100,5
70,7,100,30
70,8,100,15
70,9,100,30
70,10,100,20
71,1,100,35
71,2,100,35
71,3,100,30
71,4,100,25
71,5,100,10
71,6,100,30
71,7,100,30
71,8,100,30
71,9,100,20
71,10,100,20
72,1,100,30
72,2,100,5
72,3,100,30
72,4,100,10
72,5,100,20
72,6,100,10
72,7,100,20
72,8,100,5
72,9,100,5
72,10,100,25
73,1,100,30
73,2,100,15
73,3,100,30
73,4,100,20
73,5,100,35
73,6,100,25
73,7,100,35
73,8,100,25
73,9,100,20
73,10,100,30
74,1,100,10
74,2,100,5
74,3,100,30
74,4,100,30
74,5,100,30
74,6,100,30
74,7,100,10
74,8,100,10
74,9,100,10
74,10,100,35
75,1,100,20
75,2,100,30
75,3,100,10
75,4,100,25
75,5,100,10
75,6,100,15
75,7,100,20
75,8,100,25
75,9,100,15
75,10,100,25
76,1,100,30
76,2,100,15
76,3,100,25
76,4,100,20
76,5,100,5
76,6,100,30
76,7,100,15
76,8,100,15
76,9,100,15
76,10,100,20
77,1,100,20
77,2,100,20
77,3,100,5
77,4,100,25
77,5,100,25
77,6,100,5
77,7,100,10
77,8,100,20
77,9,100,20
77,10,100,25
78,1,100,20
78,2,100,20
78,3,100,25
78,4,100,15
78,5,100,35
78,6,100,25
78,7,100,10
78,8,100,15
78,9,100,25
78,10,100,15
79,1,100,20
79,2,100,30
79,3,100,5
79,4,100,25
79,5,100,15
79,6,100,25
79,7,100,30
79,8,100,30
79,9,100,5
79,10,100,10
80,1,100,10
80,2,100,15
80,3,100,5
80,4,100,10
80,5,100,30
80,6,100,15
80,7,100,25
80,8,100,30
80,9,100,20
80,10,100,30
